user_id,item_id,rating
12572,2953,8
31098,1545,10
23468,4926,6
98202,18,9
28873,63,2
82759,6,6
54140,115,6
6685,3014,4
66936,1972,1
35616,5663,5
96631,3794,1
14544,2795,1
32494,5380,5
84105,3260,5
95056,17,5
23383,2947,3
24172,2207,4
18916,689,10
87903,2052,3
43578,1077,8
77921,4708,5
74948,3519,7
41788,4465,2
17539,16,6
49611,4,2
55644,3798,1
104895,1547,3
10786,44,6
42329,2039,10
19235,1243,1
75328,2624,7
40655,3490,3
8551,137,4
29031,2252,7
21217,3355,7
58089,1292,3
13462,5504,1
86403,5255,3
22311,3975,1
47354,1923,1
60123,1180,9
73851,153,5
44813,4341,7
13096,938,1
13680,3499,2
24698,43,3
65593,89,8
34152,3272,5
16732,1362,7
12366,617,8
14658,683,10
4942,43,2
81841,764,2
43060,4209,9
100774,2182,8
588,901,9
63347,1,2
102944,5372,4
68527,17,5
30270,4041,3
32967,77,4
61266,252,5
69899,4979,4
49596,1072,9
49816,1109,7
24657,3054,1
33652,74,3
44753,3527,6
35025,52,3
49440,47,4
13797,1965,5
58115,1313,4
50449,1876,5
27694,230,5
100312,2895,6
5968,3104,8
58358,97,4
9856,2723,7
90496,3896,7
56226,2852,6
61288,1053,6
20873,213,9
28257,1770,6
7666,1079,2
86151,5175,9
98567,1750,5
17740,704,10
71915,2189,2
31153,1189,9
63007,3235,2
80427,15,7
99980,224,5
93824,2162,3
31916,2994,4
39171,3797,9
39580,2042,1
46928,386,9
46840,1284,4
82058,506,9
32982,2460,10
75291,744,3
41143,1449,1
2889,5539,5
63893,3866,10
73811,2281,7
43815,1359,7
18722,3171,8
42843,3489,10
79587,82,5
94234,3809,9
57137,3620,3
62730,63,2
38912,4551,5
23968,2490,2
22681,4038,2
90359,63,10
18937,2686,9
26060,3762,5
43836,795,8
54447,455,9
94997,3798,7
6220,91,3
82237,100,6
36034,2453,8
75891,82,8
50875,4073,6
68667,5828,8
90925,4112,1
43511,3541,4
97277,111,8
99475,3475,2
54445,47,8
45168,863,7
44247,989,4
93554,57,9
17871,2408,1
18776,5583,3
64174,3619,10
42077,3203,5
28108,2369,6
13269,39,1
50133,2384,5
71836,3624,7
20727,7,10
59295,129,9
79232,4040,5
58780,2460,9
62513,80,7
4268,1572,2
72766,844,1
86379,3270,4
2846,264,9
92636,523,6
74162,1539,1
65388,1638,10
57971,100,3
5118,2794,4
38216,73,4
75224,1654,2
8421,2151,4
33555,2790,9
47315,1243,5
16647,2003,5
42333,37,7
86568,4740,3
47705,3809,9
55180,3080,2
41882,978,1
44968,1676,1
27938,122,6
90049,27,3
88085,2473,7
16744,1226,7
88299,527,8
33713,98,5
87997,317,1
27037,688,7
74206,33,5
72981,2599,9
101249,3511,10
61081,97,4
76739,3837,1
40113,5019,6
98442,2767,7
80660,1503,5
17309,3104,1
29357,88,1
38301,97,10
54261,2843,10
92408,62,7
76519,98,4
23509,100,1
14269,1606,4
35539,2385,1
98232,18,4
27417,3633,8
20903,36,3
89482,44,4
37602,2883,2
87379,2287,10
34812,2268,4
60592,3321,10
56587,326,5
103830,1909,8
15633,3267,7
12521,20,5
92890,1,2
97341,1730,3
55677,4497,9
87929,1606,3
81968,4950,6
87962,3585,3
23090,4913,1
42664,2281,4
62590,1475,8
32331,286,1
8281,4209,3
94689,5589,2
26662,5099,6
24495,123,2
80266,1384,2
51900,238,2
45558,3467,4
80782,2155,9
31533,3627,2
59713,3660,9
34134,5655,2
71711,65,1
89672,100,9
19192,9,3
82630,10,9
76049,26,9
41959,4624,6
93347,3170,2
37221,1666,9
60461,1327,5
73441,4825,8
91650,3146,3
14975,2847,1
36847,1824,7
79882,4248,2
6831,2954,5
78532,4312,1
6110,617,8
13174,2261,4
82950,2095,8
21545,3079,2
12323,890,3
99767,1470,4
54734,31,6
54694,3461,5
100493,1,1
62197,36,6
65173,3645,4
72135,40,5
1936,87,4
45850,48,6
33404,1402,3
72766,5144,2
76247,2023,5
68064,63,7
3494,4641,10
67370,2891,3
23905,74,8
59543,3039,2
82465,15,10
68196,4203,1
69000,288,2
29493,88,10
17450,281,1
37561,169,2
41124,98,4
21641,3327,1
30594,1502,8
83197,3684,4
5216,100,10
105441,1,1
94026,2148,2
72640,102,4
29170,774,9
72591,97,8
66126,721,6
57151,3622,6
2267,907,10
87631,3623,7
33189,1642,2
52924,7,1
13773,36,7
97095,3252,9
54346,3517,2
9076,723,10
645,5560,6
53243,4368,9
28844,705,7
85035,2915,10
16799,2809,7
14988,2920,9
23155,3042,1
64301,9,3
43805,15,3
30082,5411,2
100482,5563,1
23161,2345,5
9284,1730,1
39764,1934,10
18591,2,4
16954,85,4
73137,3327,5
82273,3389,6
13958,4960,8
7065,254,2
7004,29,1
21671,14,3
88715,5200,3
52604,2,8
47870,202,6
2679,2741,5
19782,40,4
17245,158,8
7961,193,1
16700,3625,7
37135,1327,6
28492,2036,8
71879,4578,4
33609,82,8
60166,1391,8
7036,25,5
10863,4525,3
98825,1926,7
71904,1769,7
21250,2438,2
80346,152,10
66591,1417,6
13724,20,9
90661,497,7
47347,3261,6
80573,1801,2
105089,858,6
7568,16,3
85218,52,10
95441,2417,4
38367,2993,7
57960,2427,6
103804,1386,9
70115,2745,4
23012,140,8
7449,153,3
64669,2312,10
25243,100,8
11927,84,5
100097,3533,4
32793,47,10
100454,3620,6
17985,3315,5
79767,965,5
68840,2496,2
77314,288,1
97479,3392,3
24578,3808,10
105188,1030,6
19759,66,7
29718,2177,4
1444,133,9
48474,1503,8
21828,2496,1
32388,2579,2
15660,2007,10
96770,28,4
50637,115,9
25196,92,6
62997,103,2
70072,97,4
100861,462,8
29959,8,10
4271,3359,1
23370,4441,5
93517,2954,5
96186,1,4
7327,29,10
7886,7,6
79865,3280,1
102123,3113,4
74109,3996,10
4848,10,2
5955,983,7
61578,5207,10
44918,3610,1
19826,3584,2
44154,1236,3
87372,3982,10
37827,891,9
23788,5708,8
5223,8,9
7427,3965,10
44691,3120,8
92734,154,1
21854,2419,7
90900,2543,7
66307,2686,10
8819,3619,7
31653,5124,3
93451,3345,2
88526,2906,10
94602,3248,10
44611,29,5
23275,2358,9
6062,248,10
11114,595,4
102868,3451,8
93886,1670,5
56307,5525,6
50049,2921,5
35688,329,8
2683,2204,5
16501,150,2
5335,115,7
27959,4815,1
92972,2548,3
36447,3605,5
57584,73,3
11756,5093,1
102261,3247,3
87200,305,1
24914,1160,6
11733,80,6
9602,879,7
88107,1694,9
63691,22,2
55876,4851,3
80957,35,1
104722,5,10
24484,315,2
58392,2849,6
38086,3252,1
48837,2463,9
7915,7,4
13379,5288,3
84721,5826,5
41283,650,7
1561,2717,6
93012,43,6
6948,5446,7
16152,4054,4
72910,1917,1
19990,1972,10
32349,1987,4
80269,30,4
77565,1243,9
83917,305,10
103169,1786,3
86255,31,7
84128,4160,1
36750,7,8
7815,1730,2
3714,4562,2
78611,1067,1
38678,3491,4
59287,7,6
84785,3597,8
13003,624,8
44233,721,6
1686,50,10
88791,2152,7
67579,450,6
64971,837,2
41122,693,5
70136,253,8
12187,2044,7
81447,39,5
6032,3033,7
48440,48,2
97532,3670,8
17182,2852,2
80583,7,6
32638,856,9
91545,2821,9
100022,3369,4
43972,3600,7
96352,99,8
828,993,4
684,207,2
10944,3046,6
72766,2773,7
21159,1769,1
47079,3260,10
50466,3619,10
100055,47,7
36318,1269,3
28517,16,6
26548,1221,8
32074,18,2
69653,5560,6
77539,1243,1
82879,3071,6
17655,41,6
76470,3645,10
80399,2313,8
76523,4624,2
60515,1184,5
49299,223,10
69294,3901,5
2056,153,9
93511,3182,7
97703,37,4
81124,53,9
12061,2557,10
19418,419,2
13439,2607,1
22441,39,9
27105,882,7
98435,1361,10
92663,4681,3
13791,5234,6
43222,4349,10
71755,936,9
105475,4623,1
4663,104,3
48011,1913,3
27541,3605,5
35151,4333,4
19060,363,8
32427,1016,1
102701,1954,1
44204,14,8
61536,1346,4
53647,294,8
73169,3008,10
3438,37,8
53948,47,5
60849,3839,1
33468,554,3
105180,34,6
69997,2620,4
88967,5374,3
68042,632,3
14559,2352,3
20407,63,8
36070,4060,5
3918,1164,4
3153,5056,3
80727,1634,2
73953,5792,3
85522,2351,2
48209,790,3
13689,157,10
12759,3355,6
6060,58,7
95702,5746,6
16095,120,2
83905,2491,8
76219,74,1
88722,3841,5
32691,4,6
59105,649,5
59033,2623,8
2203,1525,3
45136,51,7
21466,683,7
51183,15,5
7794,5082,4
49885,29,9
60953,2955,6
63388,400,10
35804,649,10
103218,7,10
11012,1447,1
58829,4078,9
82743,1167,8
72766,3074,9
53397,229,7
5254,2425,4
73058,3475,7
62060,20,9
41127,416,2
74348,3945,9
10273,5832,3
73249,5058,10
86582,3738,2
51542,4426,3
101078,2617,6
68357,3452,8
25400,3669,1
100334,4421,2
47770,4440,5
81965,87,7
53256,1695,10
60728,2669,8
98097,119,4
56482,1538,6
60002,3698,4
29109,4088,4
97271,5512,1
53089,1563,2
42710,3126,1
67495,100,10
1449,3833,2
7144,3952,4
7223,3421,3
88426,821,6
45002,3411,7
30943,1847,9
89129,3097,4
87940,2134,1
30869,2059,3
94011,100,8
1690,114,1
49216,3636,5
24753,1298,6
